0.99745,0.99871,0.99913,0.99935,0.99948,0.99957,0.99963,0.99968,0.99972,0.99975,0.99978,0.9998,0.99982,0.99984,0.99986,0.99987,0.99989,0.9999,0.99992,0.99993,0.99994,0.99995,0.99996,0.99997,0.99998,0.99999,1,1,1,1,1,1,1,1.0001,1.0001,1.0001,1.0001,1.0001,1.0001
0.99746,0.99872,0.99914,0.99936,0.99949,0.99958,0.99964,0.99969,0.99973,0.99976,0.99979,0.99981,0.99983,0.99984,0.99986,0.99988,0.99989,0.9999,0.99992,0.99993,0.99994,0.99995,0.99996,0.99997,0.99998,0.99999,0.99999,1,1,1,1,1,1,1,1,1.0001,1.0001,1.0001,1.0001
0.99747,0.99872,0.99915,0.99937,0.9995,0.99958,0.99965,0.9997,0.99973,0.99977,0.99979,0.99981,0.99983,0.99985,0.99986,0.99988,0.99989,0.9999,0.99992,0.99993,0.99994,0.99995,0.99996,0.99997,0.99997,0.99998,0.99999,0.99999,1,1,1,1,1,1,1,1,1,1,1.0001
0.99748,0.99873,0.99916,0.99937,0.9995,0.99959,0.99965,0.9997,0.99974,0.99977,0.9998,0.99982,0.99984,0.99985,0.99987,0.99988,0.99989,0.99991,0.99992,0.99993,0.99994,0.99995,0.99996,0.99996,0.99997,0.99998,0.99998,0.99999,1,1,1,1,1,1,1,1,1,1,1
0.99749,0.99874,0.99917,0.99938,0.99951,0.9996,0.99966,0.99971,0.99975,0.99978,0.9998,0.99982,0.99984,0.99986,0.99987,0.99988,0.9999,0.99991,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99997,0.99998,0.99998,0.99999,0.99999,1,1,1,1,1,1,1,1,1,1
0.9975,0.99875,0.99917,0.99939,0.99952,0.9996,0.99967,0.99972,0.99975,0.99978,0.99981,0.99983,0.99985,0.99986,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99997,0.99997,0.99998,0.99998,0.99999,0.99999,1,1,1,1,1,1,1,1,1
0.9975,0.99875,0.99918,0.99939,0.99952,0.99961,0.99967,0.99972,0.99976,0.99979,0.99981,0.99983,0.99985,0.99987,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99997,0.99997,0.99998,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1,1,1,1
0.99751,0.99876,0.99918,0.9994,0.99953,0.99962,0.99968,0.99973,0.99976,0.99979,0.99982,0.99984,0.99985,0.99987,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1,1,1
0.99751,0.99877,0.99919,0.9994,0.99953,0.99962,0.99968,0.99973,0.99977,0.9998,0.99982,0.99984,0.99986,0.99987,0.99989,0.9999,0.99991,0.99991,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99997,0.99997,0.99997,0.99998,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1,1,1
0.99752,0.99877,0.9992,0.99941,0.99954,0.99963,0.99969,0.99973,0.99977,0.9998,0.99982,0.99984,0.99986,0.99987,0.99989,0.9999,0.99991,0.99992,0.99992,0.99993,0.99994,0.99995,0.99995,0.99996,0.99996,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999,0.99999,1,1,1,1,1,1
0.99752,0.99878,0.9992,0.99941,0.99954,0.99963,0.99969,0.99974,0.99977,0.9998,0.99983,0.99985,0.99986,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99993,0.99994,0.99995,0.99995,0.99996,0.99996,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999,0.99999,0.99999,1,1,1,1,1
0.99753,0.99878,0.9992,0.99942,0.99955,0.99963,0.99969,0.99974,0.99978,0.9998,0.99983,0.99985,0.99986,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99993,0.99994,0.99995,0.99995,0.99996,0.99996,0.99997,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999,0.99999,0.99999,1,1,1,1
0.99753,0.99878,0.99921,0.99942,0.99955,0.99963,0.9997,0.99974,0.99978,0.99981,0.99983,0.99985,0.99987,0.99988,0.99989,0.9999,0.99991,0.99992,0.99993,0.99994,0.99994,0.99995,0.99995,0.99996,0.99996,0.99997,0.99997,0.99997,0.99998,0.99998,0.99998,0.99999,0.99999,0.99999,0.99999,0.99999,1,1,1
